schoolid,suburb,schoolname,region,address,longitude,latitude
488,WODONGA,Catholic College Wodonga,,"1 Bowman Ct, Wodonga VIC 3690",146.8625,-36.1297
489,SALE,Catholic College Sale,,"Our Lady of Sion Campus, Cnr York St and Raglan St, Sale VIC 3850",147.0672,-38.0991
490,BENDIGO,Catholic College Bendigo,,"Barkly St, Bendigo VIC 3550",144.2762,-36.7526
491,WANGARATTA,Cathedral College,,"344 Wangaratta-Whitfield Rd, Wangaratta VIC 3677",146.3301,-36.3862
492,CASTLEMAINE,Castlemaine Secondary College,,"Etty St, Castlemaine VIC 3450",144.2121,-37.0774
493,CASTERTON,Casterton Secondary College,,"27 Mt Gambier Rd, Casterton VIC 3311",141.3877,-37.5888
494,CRANBOURNE,Casey Grammar School,,"3 New Holland Dr, Cranbourne East VIC 3977",145.2933,-38.1104
495,NOBLE PARK NORTH,Carwatha College P-12,,"43-81 Browns Road, Noble Park North VIC 3174",145.1888,-37.9422
496,CARRUM DOWNS,Carrum Downs Secondary College,,"263 McCormicks Rd, Carrum Downs VIC 3201",145.1982,-38.0962
497,CAROLINE SPRINGS,Caroline Springs College,NORTH WEST,"CAROLINE SPRINGS , VIC, 3023",144.74,-37.745
498,BRAYBROOK,Caroline Chisholm Catholic College,,"204 Churchill Ave, Braybrook VIC 3019",144.8482,-37.7866
499,KEW,Carey Baptist Grammar School,,"349 Barkers Rd, Kew VIC 3101",145.0479,-37.8145
500,CANTERBURY,Canterbury Girls Secondary College,,"16 Mangarra Rd, Canterbury VIC 3126",145.0689,-37.8201
501,CANN RIVER,Cann River P-12 College,,"20-24 Tamboon Rd, Cann River VIC 3890",149.1532,-37.569
502,CAMPERDOWN,Camperdown College,,"1 Wilson St, Camperdown VIC 3260",143.1455,-38.2394
503,CANTERBURY,Camberwell High School,,"Prospect Hill Rd, Canterbury VIC 3126",145.0784,-37.8306
504,CANTERBURY,Camberwell Grammar School,,"55 Mont Albert Rd, Canterbury VIC 3126",145.0687,-37.8168
505,CANTERBURY,Camberwell Girls Grammar School,,"2 Torrington St, Canterbury VIC 3126",145.0604,-37.8186
506,BUNDOORA,Bundoora Secondary College,,"53 Balmoral Ave, Bundoora VIC 3083",145.0623,-37.7071
507,ESSENDON,Buckley Park College,,"Cooper St, Essendon VIC 3040",144.8972,-37.7497
508,BRUNSWICK,Brunswick Secondary College,,"47 Dawson St, Melbourne VIC 3056",144.9553,-37.771
509,BROADMEADOWS,Broadmeadows Secondary College,,"Blair Street, Broadmeadows, VIC, 3047",144.9282,-37.6808
510,BROADFORD,Broadford Secondary College,,"2-12 Pinniger St, Broadford VIC 3658",145.0407,-37.2041
511,ST ALBANS,Brimbank College,NORTH WEST,"5A Jamieson St, St Albans VIC 3021",144.786,-37.7418
512,BRIGHTON EAST,Brighton Secondary College,,"120 Marriage Rd, Brighton East VIC 3187",145.0191,-37.9204
513,BRIGHTON,Brighton Grammar School,,"90 Outer Cres, Brighton VIC 3186",144.9938,-37.9082
514,BRIGHT,Bright P-12 College,,"Bakers Gully Rd & Park St, Bright VIC 3741",146.9607,-36.7317
515,GLEN WAVERLEY,Brentwood Secondary College,,"65-71 Watsons Rd, Glen Waverley VIC 3150",145.1687,-37.8975
516,BRAYBROOK,Braybrook College,,"352 Ballarat Rd, Braybrook VIC 3019",144.8483,-37.7789
517,WARRNAMBOOL,Brauer College,,"37 Caramut Rd, Warrnambool VIC 3280",142.4604,-38.3595
518,WOODEND,Braemar College,,"1499 Mount Macedon Rd, Woodend VIC 3442",144.5709,-37.3618
519,MONT ALBERT NORTH,Box Hill Senior Secondary College,,"19 Dunloe Ave, Mont Albert North VIC 3129",145.1142,-37.8094
520,BOX HILL,Box Hill Institute of TAFE,,"465 Elgar Rd, Box Hill VIC 3128",145.1153,-37.8154
521,BOX HILL,Box Hill High School,,"1180 Whitehorse Rd, Box Hill VIC 3128",145.1373,-37.8199
